veg_ty;plot;sp;ba_tree;Comments    ;health;d;h;C_content
E0;E4;Eucalyptus globulus;0.0562001;Sano;3;26.75;18.4;0.475
E0;E4;Eucalyptus globulus;0.008251582;Sano;3;10.25;9.3;0.475
E0;E4;Arbutus unedo;0.0058088;Sano;3;8.6;5;0.475
E0;E4;Arbutus unedo;0.0058088;Sano;3;8.6;4.8;0.475
E0;E4;Eucalyptus globulus;0.055571586;Sano;3;26.6;18.4;0.475
E0;E4;Eucalyptus globulus;0.011499005;Sano;3;12.1;11.5;0.475
E0;E4;Eucalyptus globulus;0.005026544;Sano;3;8;8.3;0.475
E0;E4;Eucalyptus globulus;0.016286003;Sano;3;14.4;12.5;0.475
E0;E4;Eucalyptus globulus;0.02955922;Sano;3;19.4;17.5;0.475
E0;E4;Eucalyptus globulus;0.026735127;Sano;3;18.45;15.2;0.475
E0;E4;Eucalyptus globulus;0.012867953;Sano;3;12.8;10.8;0.475
E0;E4;Eucalyptus globulus;0.005475988;Sano;3;8.35;7.7;0.475
E0;E4;Eucalyptus globulus;0.023370484;Sano;3;17.25;11.6;0.475
E0;E4;Eucalyptus globulus;0.037496644;Sano;3;21.85;15.3;0.475
E0;E4;Eucalyptus globulus;0.022564667;Sano;3;16.95;13.4;0.475
E0;E6;Eucalyptus globulus;0.022299202;Sano;3;16.85;19.6;0.475
E0;E6;Eucalyptus globulus;0.01743661;Sano;3;14.9;16.4;0.475
E0;E6;Eucalyptus globulus;0.029103886;Sano;3;19.25;18;0.475
E0;E6;Eucalyptus globulus;0.006939772;Sano;3;9.4;13.9;0.475
E0;E6;Eucalyptus globulus;0.027759089;Sano;3;18.8;15.5;0.475
E0;E6;Eucalyptus globulus;0.020232036;Sano;3;16.05;16.4;0.475
E0;E6;Eucalyptus globulus;0.012468971;Sano;3;12.6;14.7;0.475
E0;E6;Eucalyptus globulus;0.007620123;Sano;3;9.85;15.2;0.475
E0;E6;Eucalyptus globulus;0.034142996;Sano;3;20.85;15.3;0.475
E0;E6;Eucalyptus globulus;0.018869175;Sano;3;15.5;15;0.475
E0;E6;Eucalyptus globulus;0.021382447;Sano;3;16.5;;0.475
E0;E6;Eucalyptus globulus;0.00615143;Sano;3;8.85;;0.475
E0;E6;Eucalyptus globulus;0.011594234;Sano;3;12.15;;0.475
E0;E6;Eucalyptus globulus;0.020106176;Sano;3;16;;0.475
E0;E6;Eucalyptus globulus;0.005607934;Sano;3;8.45;12.7;0.475
